,genus,species,min_max_size,dispersal_unit,class_1,class_2,polarity,P/E,2D_shape,3D_shape,aperture_type,aperture_features_1,aperture_features_2,aperture_features_3,viscin,ubisch,a_prefix_1,a_prefix_2,a_prefix_3,ornamentation_1,ornamentation_2,ornamentation_3,ornamentation_4,ornamentation_5,ornamentation_6,ornamentation_7,phyla,family,order
Aechmea cariocae,Aechmea,cariocae,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,-,-,-,-,perforate,foveolate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea caudata,Aechmea,caudata,"51,100",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea chantinii,Aechmea,chantinii,"51,100",monad,inaperturate,-,isopolar,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea comata,Aechmea,comata,"26,50",monad,porate,-,-,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea cylindrata,Aechmea,cylindrata,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea dealbata,Aechmea,dealbata,"51,100",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea digitata,Aechmea,digitata,"51,100",monad,porate,-,heteropolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,tetra,panto,-,foveolate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea disjuncta,Aechmea,disjuncta,"51,100",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,ubisch bodies,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea distichantha,Aechmea,distichantha,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,foveolate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea drakeana,Aechmea,drakeana,"51,100",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea echinata,Aechmea,echinata,"51,100",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea egleriana,Aechmea,egleriana,"51,100",monad,porate,-,heteropolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,-,-,-,foveolate,reticulate,free standing columellae,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea fasciata,Aechmea,fasciata,"51,100",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea fendleri,Aechmea,fendleri,"51,100",monad,porate,-,heteropolar,oblate,-,-,porus,-,-,-,viscin threads,ubisch bodies,tetra,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea filicaulis,Aechmea,filicaulis,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea floribunda,Aechmea,floribunda,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,foveolate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea fosteriana,Aechmea,fosteriana,"51,100",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea fraseri,Aechmea,fraseri,"51,100",monad,porate,-,heteropolar,oblate,elliptic,-,poroid,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea fulgens,Aechmea,fulgens,"26,50",monad,porate,-,heteropolar,-,-,-,porus,-,-,-,viscin threads,-,tetra,-,-,reticulate,foveolate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea gamosepala,Aechmea,gamosepala,"51,100",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea guaratingensis,Aechmea,guaratingensis,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,-,-,-,viscin threads,ubisch bodies,panto,panto,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea gustavoi,Aechmea,gustavoi,"26,50",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,ubisch bodies,di,-,-,perforate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea huebneri,Aechmea,huebneri,"51,100",monad,porate,-,heteropolar,-,circular,spheroidal,porus,-,-,-,viscin threads,ubisch bodies,tetra,-,-,foveolate,perforate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea incompta,Aechmea,incompta,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,foveolate,free standing columellae,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea lamarchei,Aechmea,lamarchei,"26,50",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea lasseri,Aechmea,lasseri,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,bean-shaped,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea leonard-kentiana,Aechmea,leonard-kentiana,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,-,-,-,viscin threads,-,panto,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea leptantha,Aechmea,leptantha,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,-,-,-,viscin threads,-,panto,panto,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea limae,Aechmea,limae,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea linharesiorum,Aechmea,linharesiorum,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,foveolate,reticulate,free standing columellae,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea macrochlamys,Aechmea,macrochlamys,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,-,-,-,viscin threads,-,panto,panto,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea marginalis,Aechmea,marginalis,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea mertensii,Aechmea,mertensii,"51,100",monad,inaperturate,-,isopolar,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea mollis,Aechmea,mollis,"51,100",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,ubisch bodies,di,-,-,foveolate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea multiflora,Aechmea,multiflora,"26,50",monad,sulcate,-,heteropolar,oblate,circular,-,sulcus,-,-,-,viscin threads,ubisch bodies,-,-,-,perforate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea nudicaulis,Aechmea,nudicaulis,"26,50",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea orlandiana,Aechmea,orlandiana,"51,100",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea ornata,Aechmea,ornata,"26,50",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,-,-,-,viscin threads,-,-,-,-,psilate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea paniculata,Aechmea,paniculata,"51,100",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,ubisch bodies,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea paradoxa,Aechmea,paradoxa,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,foveolate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea pectinata,Aechmea,pectinata,"26,50",monad,porate,-,isopolar,oblate,elliptic,-,porus,,-,-,viscin threads,ubisch bodies,di,-,-,perforate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea pedicellata,Aechmea,pedicellata,"26,50",monad,porate,-,-,-,-,-,porus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea penduliflora,Aechmea,penduliflora,"51,100",monad,inaperturate,-,isopolar,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea pendulispica,Aechmea,pendulispica,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,psilate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea phanerophlebia,Aechmea,phanerophlebia,"26,50",monad,porate,-,heteropolar,-,-,-,porus,-,-,-,viscin threads,-,tetra,-,-,perforate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea racinae,Aechmea,racinae,"26,50",monad,porate,-,heteropolar,-,-,-,porus,-,-,-,viscin threads,-,,-,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea ramosa,Aechmea,ramosa,"26,50",monad,porate,-,heteropolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,tetra,-,-,foveolate,perforate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea recurvata,Aechmea,recurvata,"51,100",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,ubisch bodies,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea recurvipetala,Aechmea,recurvipetala,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,-,-,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea rubrolilacina,Aechmea,rubrolilacina,"51,100",monad,porate,-,-,-,circular,spheroidal,porus,-,-,-,viscin threads,-,panto,panto,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea saxicola,Aechmea,saxicola,"26,50",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,,-,-,viscin threads,ubisch bodies,-,-,-,perforate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea serragrandensis,Aechmea,serragrandensis,"26,50",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,foveolate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea smithiorum,Aechmea,smithiorum,"26,50",monad,porate,-,heteropolar,oblate,quadrangular,-,porus,-,-,-,viscin threads,ubisch bodies,tetra,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea sphaerocephala,Aechmea,sphaerocephala,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,-,-,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea subintegerrima,Aechmea,subintegerrima,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,foveolate,perforate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea tayoensis,Aechmea,tayoensis,"51,100",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,psilate,foveolate,perforate,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea tessmannii,Aechmea,tessmannii,"51,100",monad,inaperturate,-,isopolar,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea tomentosa,Aechmea,tomentosa,"51,100",monad,porate,-,heteropolar,-,circular,spheroidal,porus,-,-,-,viscin threads,ubisch bodies,tetra,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea angularis,Aechmea,angularis,"51,100",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea vallerandii,Aechmea,vallerandii,"51,100",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,foveolate,perforate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea victoriana,Aechmea,victoriana,"26,50",monad,porate,-,heteropolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,tetra,-,-,foveolate,reticulate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea viridostigma,Aechmea,viridostigma,"26,50",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea warasii,Aechmea,warasii,"26,50",monad,porate,-,heteropolar,-,-,-,porus,-,-,-,viscin threads,-,panto,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea weberbaueri,Aechmea,weberbaueri,"51,100",monad,porate,-,heteropolar,oblate,elliptic,-,porus,,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea weberi,Aechmea,weberi,"51,100",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,foveolate,reticulate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea weilbachii,Aechmea,weilbachii,"26,50",monad,porate,-,heteropolar,-,-,-,porus,-,-,-,viscin threads,-,tetra,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea zebrina,Aechmea,zebrina,"51,100",monad,inaperturate,-,isopolar,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aegiceras corniculatum,Aegiceras,corniculatum,"10,25",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Ericales,Primulaceae
Aegle marmelos,Aegle,marmelos,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Sapindales,Rutaceae
Aegopodium podagraria,Aegopodium,podagraria,"16,35",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,rugulate,perforate,-,-,Angiospermae,Apiales,Apiaceae
Aeonium canariensis,Aeonium,canariensis,"21,30",monad,colporate,-,isopolar,oblate,triangular,-,colporus,-,-,-,viscin threads,-,tri,-,-,rugulate,striate,-,-,-,-,-,Angiospermae,Saxifragales,Crassulaceae
Aerides multiflora,Aerides,multiflora,"101,101",pollinium,-,-,heteropolar,-,irregular,irregular,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Asparagales,Orchidaceae
Aeschynanthus marmoratus,Aeschynanthus,marmoratus,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,, margo,-,viscin threads,ubisch bodies,tri,-,-,-,-,-,-,-,-,-,Angiospermae,Lamiales,Gesneriaceae
Aeschynanthus tricolor,Aeschynanthus,tricolor,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,,-,-,viscin threads,ubisch bodies,tri,-,-,-,-,-,-,-,-,-,Angiospermae,Lamiales,Gesneriaceae
Aesculus carnea,Aesculus,carnea,"21,30",monad,colporate,-,isopolar,prolate,circular,-,colporus,,-,-,viscin threads,ubisch bodies,tri,-,-,striate,perforate,-,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Aesculus flava,Aesculus,flava,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,,-,-,viscin threads,-,tri,-,-,striatoreticulate,-,-,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Aesculus glabra,Aesculus,glabra,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,,-,-,viscin threads,-,tri,-,-,striato,-,-,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Aesculus hippocastanum,Aesculus,hippocastanum,"16,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,,-,-,viscin threads,ubisch bodies,tri,-,-,rugulate,striate,perforate,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Aesculus parviflora,Aesculus,parviflora,"16,20",monad,colporate,-,isopolar,prolate,circular,-,colporus,,-,-,viscin threads,-,tri,-,-,striate,-,-,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Aethionema grandiflora,Aethionema,grandiflora,"10,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Aethionema saxatile,Aethionema,saxatile,"10,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Aethusa cynapium,Aethusa,cynapium,"9,25",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Apiales,Apiaceae
Agapanthus umbellatus,Agapanthus,umbellatus,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,ubisch bodies,-,-,-,reticulate,heterobrochate,-,-,-,-,-,Angiospermae,Asparagales,Amaryllidaceae
Agapetes macrantha,Agapetes,macrantha,"51,100",tetrad,tetrad,-,heteropolar,oblate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,psilate,fossulate,perforate,-,-,-,-,Angiospermae,Ericales,Ericaceae
Agapetes variegata,Agapetes,variegata,"51,100",tetrad,tetrad,-,heteropolar,-,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,-,-,-,-,-,-,-,Angiospermae,Ericales,Ericaceae
Agastache mexicana,Agastache,mexicana,"26,40",monad,colpate,-,isopolar,oblate,elliptic,-,colpus,,-,-,viscin threads,-,hexa,stephano,-,reticulate,bireticulate,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Agauria salicifolia,Agauria,salicifolia,"26,35",tetrad,tetrad,-,heteropolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,psilate,-,-,-,-,-,-,Angiospermae,Ericales,Ericaceae
Agave amica,Agave,amica,"51,100",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,-,-,-,viscin threads,ubisch bodies,di,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Asparagales,Asparagaceae
Agave attenuata,Agave,attenuata,"41,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Asparagales,Asparagaceae
Agave wislizeni,Agave,wislizeni,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,operculum,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Asparagales,Asparagaceae
Ageratum conyzoides,Ageratum,conyzoides,"11,15",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Ageratum houstonianum,Ageratum,houstonianum,"11,20",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Aglaia elliptica,Aglaia,elliptica,"10,25",monad,porate,-,isopolar,prolate,circular,-,porus,-,-,-,viscin threads,ubisch bodies,tri,-,-,-,-,-,-,-,-,-,Angiospermae,Sapindales,Meliaceae
Aglaia odorata,Aglaia,odorata,"10,25",monad,porate,-,isopolar,prolate,circular,-,porus,-,-,-,viscin threads,ubisch bodies,tri,-,-,psilate,-,-,-,-,-,-,Angiospermae,Sapindales,Meliaceae
Aglaodorum griffithii,Aglaodorum,griffithii,"51,100",monad,inaperturate,-,isopolar,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Alismatales,Araceae
Agrimonia eupatoria,Agrimonia,eupatoria,"31,40",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,rugulate,striate,-,-,-,-,-,Angiospermae,Rosales,Rosaceae
Agrimonia odorata,Agrimonia,odorata,"36,100",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Rosales,Rosaceae
Agrimonia pilosa,Agrimonia,pilosa,"26,40",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Rosales,Rosaceae
Agropyron repens,Agropyron,repens,"41,50",monad,ulcerate,-,heteropolar,-,circular,spheroidal,ulcus,operculum,-,-,viscin threads,-,-,-,-,psilate,-,-,-,-,-,-,Angiospermae,Poales,Poaceae
Agrostemma githago,Agrostemma,githago,"51,100",monad,porate,-,isopolar,isodiamec,circular,spheroidal,porus,operculum,-,-,viscin threads,ubisch bodies,panto,panto,-,scabrate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Caryophyllales,Caryophyllaceae
Agrostis rupestris,Agrostis,rupestris,"26,50",monad,ulcerate,-,heteropolar,-,circular,spheroidal,ulcus,operculum, annulus,-,viscin threads,ubisch bodies,-,-,-,areolate,-,-,-,-,-,-,Angiospermae,Poales,Poaceae
Ailanthus altissima,Ailanthus,altissima,"21,30",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,striatoreticulatestriato,-,-,-,-,-,-,Angiospermae,Sapindales,Simaroubaceae
Ainsliaea aptera,Ainsliaea,aptera,"31,40",monad,colpate,-,-,isodiametric,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,gemmate,scabrate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Ajuga chamaepitys,Ajuga,chamaepitys,"26,40",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,bireticulate,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Ajuga genevensis,Ajuga,genevensis,"21,30",monad,colpate,-,isopolar,isodiametric,circular,spheroidal,colpus,margo,-,-,viscin threads,-,tri,-,-,reticulate,bireticulate,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Ajuga incisia,Ajuga,incisia,"26,50",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,bireticulate,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Ajuga pyramidalis,Ajuga,pyramidalis,"21,35",monad,colpate,-,isopolar,isodiametric,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Ajuga reptans,Ajuga,reptans,"21,25",monad,colpate,-,isopolar,isodiametric,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,reticulate,bireticulate,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Akebia quinata,Akebia,quinata,"10,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,reticulate,rugulate,-,-,-,-,-,Angiospermae,Ranunculales,Lardizabalaceae
Alangium platanifolium,Alangium,platanifolium,"51,100",monad,colporate,-,isopolar,oblate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Cornales,Cornaceae
