,genus,species,min_max_size,dispersal_unit,class_1,class_2,polarity,P/E,2D_shape,3D_shape,aperture_type,aperture_features_1,aperture_features_2,aperture_features_3,viscin,ubisch,a_prefix_1,a_prefix_2,a_prefix_3,ornamentation_1,ornamentation_2,ornamentation_3,ornamentation_4,ornamentation_5,ornamentation_6,ornamentation_7,phyla,family,order
Lilium cattaniae,Lilium,cattaniae,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,-,-,-,-,reticulate,reticulum cristatum,-,-,-,-,-,Angiospermae,Liliales,Liliaceae
Lilium croceum,Lilium,croceum,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,ubisch bodies,-,-,-,reticulate,reticulum cristatum,gemmate,-,-,-,-,Angiospermae,Liliales,Liliaceae
Lilium formosanum,Lilium,formosanum,"51,101",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Liliales,Liliaceae
Lilium henryi,Lilium,henryi,"41,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,colpus,,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Liliales,Liliaceae
Lilium martagon,Lilium,martagon,"41,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,-,-,-,-,reticulate,reticulum cristatum,-,-,-,-,-,Angiospermae,Liliales,Liliaceae
Limbarda crithmoides,Limbarda,crithmoides,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Limnanthes douglasii,Limnanthes,douglasii,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,ring-like aperture,, margo,-,viscin threads,-,-,-,-,perforate,striate,-,-,-,-,-,Angiospermae,Brassicales,Limnanthaceae
Limodorum abortivum,Limodorum,abortivum,"26,50",monad,ulcerate,-,heteropolar,-,circular,spheroidal,ulcus,,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Asparagales,Orchidaceae
Limonium balearicum,Limonium,balearicum,"51,100",monad,colpate,-,isopolar,oblate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Plumbaginaceae
Limonium cancellatum,Limonium,cancellatum,"51,100",monad,colpate,-,isopolar,oblate,circular,-,colpus,-,-,-,viscin threads,ubisch bodies,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Plumbaginaceae
Limonium sinuatum,Limonium,sinuatum,"51,100",monad,colpate,-,isopolar,oblate,circular,-,colpus,-,-,-,viscin threads,ubisch bodies,tri,-,-,reticulate,homobrochate,reticulum cristatum,-,-,-,-,Angiospermae,Caryophyllales,Plumbaginaceae
